中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,28 ms,289 Mbps,37068 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26b:a5,,colo.txt:Los Angeles,隧道,0 ms,64 Mbps,8277 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,32 ms,345 Mbps,44236 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,73 ms,616 Mbps,78848 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,79 ms,305 Mbps,39116 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,41 ms,613 Mbps,78540 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,25 ms,760 Mbps,97382 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,47 ms,614 Mbps,78643 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,84 ms,40 Mbps,5224 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,59 ms,49 Mbps,6322 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,14 ms,824 Mbps,105472 kB/s
141.144.197.160,443,2606:f240:f00:dd8d:0:9974:4ed5:903b,US,Frankfurt,隧道,136 ms,124 Mbps,15974 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,127 ms,180 Mbps,23142 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,16 ms,1272 Mbps,162816 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,28 ms,615 Mbps,78745 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,175 ms,156 Mbps,19968 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,75 ms,432 Mbps,55398 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,69 ms,552 Mbps,70758 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,19 ms,840 Mbps,107520 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,174 ms,36 Mbps,4695 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,160 ms,115 Mbps,14745 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,147 ms,152 Mbps,19456 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,144 ms,148 Mbps,19046 kB/s
130.162.144.191,443,2a09:bac5:4751:1a14::299:1d,KR,Seoul,隧道,139 ms,37 Mbps,4804 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,25 ms,1320 Mbps,168960 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,60 ms,23 Mbps,3034 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,154 Mbps,19763 kB/s
