中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,668 Mbps,85606 kB/s,85606.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,74 ms,413 Mbps,52940 kB/s,52940.0
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,68 ms,401 Mbps,51404 kB/s,51404.0
35.197.23.75,443,35.212.237.223,US,Seattle,隧道,71 ms,397 Mbps,50892 kB/s,50892.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,60 ms,368 Mbps,47206 kB/s,47206.0
35.230.79.26,443,35.212.237.223,US,Seattle,隧道,71 ms,364 Mbps,46694 kB/s,46694.0
192.9.236.144,443,192.9.236.144,US,San Jose,中转,63 ms,284 Mbps,36454 kB/s,36454.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,270 Mbps,34611 kB/s,34611.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,99 ms,258 Mbps,33075 kB/s,33075.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,256 Mbps,32870 kB/s,32870.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,99 ms,206 Mbps,26419 kB/s,26419.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,129 Mbps,16588 kB/s,16588.0
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,202 ms,70 Mbps,9063 kB/s,9063.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,92 ms,42 Mbps,5438 kB/s,5438.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,92 ms,42 Mbps,5419 kB/s,5419.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,168 ms,37 Mbps,4819 kB/s,4819.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,37 Mbps,4776 kB/s,4776.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,168 ms,19 Mbps,2501 kB/s,2501.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,8 ms,6 Mbps,887 kB/s,887.0
