中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,2 ms,1320 Mbps,168960 kB/s,168960.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,16 ms,872 Mbps,111616 kB/s,111616.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,76 ms,409 Mbps,52428 kB/s,52428.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,54 ms,364 Mbps,46592 kB/s,46592.0
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,71 ms,344 Mbps,44032 kB/s,44032.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,79 ms,339 Mbps,43417 kB/s,43417.0
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,74 ms,332 Mbps,42598 kB/s,42598.0
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,70 ms,327 Mbps,41881 kB/s,41881.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,96 ms,300 Mbps,38502 kB/s,38502.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,263 Mbps,33689 kB/s,33689.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,253 Mbps,32460 kB/s,32460.0
141.147.88.123,443,2606:f240:f00:2be4:0:cc56:4849:ca10,DE,Frankfurt,隧道,94 ms,247 Mbps,31641 kB/s,31641.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,244 Mbps,31334 kB/s,31334.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,79 ms,200 Mbps,25702 kB/s,25702.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,181 ms,120 Mbps,15462 kB/s,15462.0
3.112.21.102,443,3.112.21.102,JP,Osaka,中转,172 ms,113 Mbps,14540 kB/s,14540.0
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,17 ms,111 Mbps,14233 kB/s,14233.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,3 ms,81 Mbps,10444 kB/s,10444.0
64.110.75.145,443,64.110.75.145,KR,Los Angeles,中转,0 ms,77 Mbps,9932 kB/s,9932.0
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,90 ms,51 Mbps,6532 kB/s,6532.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,99 ms,49 Mbps,6365 kB/s,6365.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,89 ms,49 Mbps,6292 kB/s,6292.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,89 ms,46 Mbps,5978 kB/s,5978.0
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,178 ms,41 Mbps,5264 kB/s,5264.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,179 ms,39 Mbps,5083 kB/s,5083.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,249 ms,37 Mbps,4862 kB/s,4862.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,199 ms,34 Mbps,4441 kB/s,4441.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,175 ms,34 Mbps,4376 kB/s,4376.0
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,183 ms,32 Mbps,4164 kB/s,4164.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,237 ms,31 Mbps,4093 kB/s,4093.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,218 ms,22 Mbps,2915 kB/s,2915.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,161 ms,0 Mbps,51 kB/s,51.0
